Name,Type,Foreigner
Rahul Sharma,bowl,0
Rahul Shukla,bowl,0
Rahul Tewatia,all,0
Rahul Tripathi,bat,0
Raiphi Gomez,bowl,0
Rajagopal Sathish,all,0
Rajat Bhatia,all,0
Ramesh Powar,bowl,0
Rashid Khan,all,1
Rasikh Salam,bowl,0
Ravi Bopara,all,1
Ravi Rampaul,bowl,1
Ravichandran Ashwin,all,0
Ravindra Jadeja,all,0
Ray Price,bowl,1
Richard Levi,bat,1
Ricky Bhui,bat,0
Ricky Ponting,bat,1
Rilee Rossouw,bat,1
Rinku Singh,bat,0
Rishabh Pant,wk,0
Rishi Dhawan,all,0
Riyan Parag,all,0
Robin Peterson,bowl,1
Robin Uthappa,wk,0
Roelof van der Merwe,all,1
Rohit Sharma,bat,0
Ronit More,bowl,0
Ross Taylor,bat,1
RP Singh,bowl,0
RR Bhatkal,all,0
Rusty Theron,bowl,1
Ryan Harris,bowl,1
Ryan Mclaren,all,1
Ryan Ninan,bowl,0
Ryan ten Doeschate,all,1
S Midhun,bowl,0
S Sreesanth,bowl,0
S Sriram,all,0
SA Asnodkar,bat,0
Sachin Baby,bat,0
Sachin Rana,all,0
Sachin Tendulkar,bat,0
Sachitra Senanayake,bowl,1
Sam Billings,wk,1
Sam Curran,all,1
Samuel Badree,bowl,1
Sandeep Lamichhane,bowl,1
Sandeep Sharma,bowl,0
Sandeep Warrier,bowl,0
Sanju Samson,wk,0
Sarabjit Ladda,bowl,0
Sarfaraz Khan,bat,0
Saurabh Tiwary,bat,0
Scott Boland,bowl,1
Scott Kuggeleijn,bowl,1
Scott Styris,all,1
Sean Abbott,bowl,1
Shadab Jakati,bowl,0
Shahbaz Nadeem,bowl,0
Shakib Al Hasan,all,1
Shalabh Srivastava,bowl,0
Shane Warne,bowl,1
Shane Watson,all,1
Shardul Thakur,bowl,0
Shaun Marsh,bat,1
Shaun Tait,bowl,1
Sheldon Jackson,wk,0
Sherfane Rutherford,bat,1
Shikhar Dhawan,bat,0
Shimron Hetmyer,bat,1
Shivam Dube,all,0
Shivam Mavi,bowl,0
Shivam Sharma,bowl,0
Shivil Kaushik,bowl,0
Shreevats Goswami,wk,0
Shreyas Gopal,bowl,0
Shreyas Iyer,bat,0
Shrikant Munde,bowl,0
Shrikant Wagh,bowl,0
Shubham Agarwal,bowl,0
Shubman Gill,bat,0
Siddarth Kaul,bowl,0
Siddesh Lad,bat,0
Siddharth Chitnis,all,0
Siddharth Trivedi,bowl,0
Simran Singh,wk,0
Sourav Ganguly,bat,0
Sreenath Arvind,bowl,0
Srikkanth Anirudha,bat,0
Steven Smith,bat,1
Stuart Binny,all,0
Subramaniam Badrinath,bat,0
Sudeep Tyagi,bowl,0
Sumit Narwal,bowl,0
Sunil Narine,bowl,1
Sunny Gupta,bowl,0
Sunny Singh,bowl,0
Sunny Sohal,bat,0
Suraj Randiv,bowl,0
Suresh Raina,all,0
Suryakumar Yadav,bat,0
Swapnil Singh,bowl,0
Syed Mohammad,bowl,0
T Natarajan,bowl,0
Tabraiz Shamsi,bowl,1
Tanmay Mishra,bat,0
Tanmay Srivastava,bat,0
Tejas Baroka,bowl,0
Thalaivan Sargunam,bat,0
Thisara Perera,all,1
Tim Paine,wk,1
Tim Southee,bowl,1
Tirumalsetti Suman,all,0
TM Dilshan,all,1
Tom Curran,all,1
TP Sudhindra,bowl,0
Travis Birt,bat,1
Travis Head,bat,1
Trent Boult,bowl,1
Tymal Mills,bowl,1
UA Birla,bat,0
Umesh Yadav,bowl,0
Unmukt Chandh,bat,0
Usman Khawaja,bat,1
van der Wath,bowl,1
Varun Aaron,bowl,0
Varun Chakravarthy,bowl,0
Veer Pratap Singh,bowl,0
Venugopal Rao,all,0
Vijay Shankar,all,0
Vijay Zol,bat,0
Vikramjeet Malik,bowl,0
Vinay Kumar,bowl,0
Virat Kohli,bat,0
Virender Sehwag,bat,0
Vishnu Vinod,wk,0
VVS Laxman,bat,0
Washington Sundar,all,0
Wayne Parnell,bowl,1
Wriddhiman Saha,wk,0
Yarra Prithvi Raj,bowl,0
Yo Mahesh,bowl,0
Yogesh Nagar,all,0
Yogesh Takawale,bat,0
Yusuf Pathan,all,0
Yuvraj Singh,all,0
Yuzvendra Chahal,bowl,0
Zaheer Khan,bowl,0
